model,feature,mean_rank,median_rank,min_rank,max_rank,top10_frequency
logistic,total kms,1.5333333333333334,1.0,1,5,1.0
logistic,total km Z3-Z4-Z5-T1-T2,2.466666666666667,2.0,1,7,1.0
logistic,avg training success,5.0,5.0,2,10,1.0
logistic,avg exertion,9.066666666666666,6.0,2,34,0.7333333333333333
logistic,total kms.2,9.333333333333334,8.0,2,24,0.5333333333333333
logistic,nr. rest days,10.0,7.0,1,25,0.6666666666666666
logistic,max training success.1,11.4,6.0,2,35,0.7333333333333333
logistic,min recovery.2,12.866666666666667,11.0,6,27,0.4
logistic,max km one day.1,17.533333333333335,13.0,6,57,0.2
logistic,max exertion,19.266666666666666,16.0,4,65,0.4
logistic,total hours alternative training.1,20.133333333333333,19.0,10,46,0.06666666666666667
logistic,total km Z5-T1-T2.2,20.266666666666666,21.0,4,43,0.2
logistic,avg exertion.2,21.266666666666666,16.0,8,58,0.3333333333333333
logistic,min recovery,21.8,17.0,4,42,0.2
logistic,nr. days with interval session.2,22.8,20.0,6,60,0.06666666666666667
logistic,total km Z3-4,22.8,16.0,4,59,0.2
logistic,avg recovery.1,23.0,18.0,3,51,0.26666666666666666
logistic,nr. sessions,24.0,16.0,5,65,0.26666666666666666
logistic,nr. days with interval session,24.133333333333333,25.0,5,58,0.13333333333333333
logistic,nr. strength trainings.1,24.2,24.0,13,38,0.0
logistic,min exertion,24.6,25.0,9,36,0.06666666666666667
logistic,avg recovery,25.533333333333335,21.0,4,62,0.26666666666666666
logistic,total km Z3-Z4-Z5-T1-T2.1,27.066666666666666,26.0,3,56,0.2
logistic,min exertion.2,27.8,23.0,11,52,0.0
logistic,total km Z3-4.2,29.4,24.0,9,65,0.06666666666666667
logistic,nr. strength trainings.2,31.333333333333332,30.0,19,52,0.0
logistic,max recovery,32.13333333333333,30.0,10,66,0.13333333333333333
logistic,min training success,32.666666666666664,37.0,9,58,0.06666666666666667
logistic,max exertion.2,32.86666666666667,28.0,8,65,0.06666666666666667
logistic,max recovery.1,34.333333333333336,35.0,6,59,0.2
logistic,total km Z3-4.1,35.666666666666664,42.0,5,64,0.06666666666666667
logistic,nr. sessions.2,36.266666666666666,38.0,10,61,0.06666666666666667
logistic,total kms.1,36.666666666666664,36.0,10,65,0.06666666666666667
logistic,total km Z5-T1-T2.1,36.733333333333334,38.0,12,56,0.0
logistic,nr. sessions.1,38.13333333333333,36.0,12,63,0.0
logistic,total km Z5-T1-T2,38.46666666666667,38.0,8,63,0.06666666666666667
logistic,avg exertion.1,38.53333333333333,42.0,8,58,0.13333333333333333
logistic,max km one day,39.2,40.0,10,63,0.06666666666666667
logistic,min training success.2,39.93333333333333,34.0,17,66,0.0
logistic,max training success.2,41.2,43.0,12,61,0.0
logistic,nr. rest days.2,42.266666666666666,43.0,16,64,0.0
logistic,max km Z5-T1-T2 one day.1,42.6,42.0,15,66,0.0
logistic,avg recovery.2,42.93333333333333,50.0,12,64,0.0
logistic,max km one day.2,43.2,41.0,25,61,0.0
logistic,"nr. tough sessions (effort in Z5, T1 or T2)",43.266666666666666,41.0,29,63,0.0
logistic,max exertion.1,43.46666666666667,41.0,20,64,0.0
logistic,nr. rest days.1,43.93333333333333,41.0,28,63,0.0
logistic,max training success,44.06666666666667,43.0,21,66,0.0
logistic,min exertion.1,44.266666666666666,49.0,12,61,0.0
logistic,max km Z5-T1-T2 one day.2,44.53333333333333,45.0,20,64,0.0
logistic,max recovery.2,45.2,48.0,16,66,0.0
logistic,total km Z3-Z4-Z5-T1-T2.2,45.266666666666666,43.0,25,62,0.0
logistic,"nr. tough sessions (effort in Z5, T1 or T2).1",45.6,45.0,13,61,0.0
logistic,"nr. tough sessions (effort in Z5, T1 or T2).2",45.93333333333333,50.0,16,61,0.0
logistic,avg training success.2,46.06666666666667,52.0,9,64,0.06666666666666667
logistic,nr. days with interval session.1,46.06666666666667,45.0,29,65,0.0
logistic,max km Z5-T1-T2 one day,47.2,47.0,22,66,0.0
logistic,min recovery.1,47.4,47.0,26,66,0.0
logistic,total hours alternative training,47.93333333333333,49.0,20,65,0.0
logistic,avg training success.1,48.46666666666667,53.0,18,66,0.0
logistic,max km Z3-4 one day,48.53333333333333,46.0,29,65,0.0
logistic,max km Z3-4 one day.1,49.666666666666664,54.0,31,62,0.0
logistic,max km Z3-4 one day.2,50.8,52.0,31,66,0.0
logistic,min training success.1,52.13333333333333,51.0,33,66,0.0
logistic,total hours alternative training.2,54.333333333333336,55.0,39,66,0.0
logistic,nr. strength trainings,54.46666666666667,54.0,39,66,0.0
random_forest,max exertion,1.2,1.0,1,3,1.0
random_forest,total km Z3-Z4-Z5-T1-T2,2.466666666666667,2.0,1,5,1.0
random_forest,avg exertion,4.533333333333333,4.0,2,8,1.0
random_forest,max exertion.2,5.933333333333334,6.0,1,12,0.9333333333333333
random_forest,max exertion.1,6.2,5.0,2,17,0.8
random_forest,total kms,6.466666666666667,7.0,3,11,0.9333333333333333
random_forest,max recovery,8.333333333333334,8.0,3,13,0.6
random_forest,total kms.2,8.666666666666666,9.0,5,13,0.7333333333333333
random_forest,total kms.1,8.933333333333334,8.0,5,24,0.9333333333333333
random_forest,max km one day,9.466666666666667,11.0,3,13,0.4666666666666667
random_forest,max training success,12.133333333333333,11.0,3,27,0.4666666666666667
random_forest,avg exertion.1,12.533333333333333,12.0,6,23,0.4
random_forest,total km Z3-Z4-Z5-T1-T2.1,15.6,15.0,7,28,0.26666666666666666
random_forest,avg recovery,17.4,16.0,6,30,0.06666666666666667
random_forest,avg training success,18.266666666666666,20.0,6,30,0.06666666666666667
random_forest,nr. sessions,18.4,16.0,10,32,0.06666666666666667
random_forest,max km one day.1,19.466666666666665,19.0,14,30,0.0
random_forest,avg exertion.2,20.6,20.0,13,30,0.0
random_forest,max recovery.2,21.4,19.0,12,38,0.0
random_forest,max km one day.2,23.133333333333333,22.0,14,37,0.0
random_forest,max training success.2,23.4,22.0,12,44,0.0
random_forest,min training success,24.533333333333335,20.0,14,45,0.0
random_forest,max recovery.1,25.533333333333335,24.0,16,38,0.0
random_forest,nr. rest days,26.4,26.0,15,44,0.0
random_forest,max training success.1,27.333333333333332,25.0,10,46,0.13333333333333333
random_forest,avg training success.2,28.4,26.0,18,40,0.0
random_forest,nr. days with interval session,29.4,31.0,13,43,0.0
random_forest,min recovery.2,29.666666666666668,28.0,17,47,0.0
random_forest,min exertion.2,30.933333333333334,29.0,22,44,0.0
random_forest,nr. strength trainings,31.2,34.0,9,54,0.13333333333333333
random_forest,total km Z3-Z4-Z5-T1-T2.2,31.2,29.0,24,41,0.0
random_forest,min training success.1,32.2,35.0,15,45,0.0
random_forest,avg training success.1,32.46666666666667,34.0,16,41,0.0
random_forest,min exertion.1,33.2,36.0,18,45,0.0
random_forest,min exertion,33.4,35.0,19,48,0.0
random_forest,min recovery,34.2,34.0,23,45,0.0
random_forest,min recovery.1,35.06666666666667,34.0,27,51,0.0
random_forest,avg recovery.2,35.6,35.0,24,47,0.0
random_forest,avg recovery.1,36.0,34.0,25,46,0.0
random_forest,nr. strength trainings.1,36.6,41.0,20,49,0.0
random_forest,max km Z3-4 one day,37.13333333333333,38.0,21,49,0.0
random_forest,total km Z3-4,37.733333333333334,38.0,26,52,0.0
random_forest,max km Z5-T1-T2 one day,37.86666666666667,43.0,15,57,0.0
random_forest,min training success.2,40.6,42.0,31,50,0.0
random_forest,total km Z5-T1-T2,41.46666666666667,43.0,18,52,0.0
random_forest,total hours alternative training,44.2,47.0,24,58,0.0
random_forest,nr. sessions.1,45.2,46.0,36,57,0.0
random_forest,total km Z5-T1-T2.1,46.93333333333333,48.0,35,55,0.0
random_forest,total hours alternative training.2,47.333333333333336,47.0,44,56,0.0
random_forest,max km Z5-T1-T2 one day.1,49.8,51.0,38,57,0.0
random_forest,max km Z3-4 one day.2,49.93333333333333,50.0,37,55,0.0
random_forest,total hours alternative training.1,51.733333333333334,52.0,42,61,0.0
random_forest,total km Z5-T1-T2.2,52.53333333333333,52.0,44,58,0.0
random_forest,total km Z3-4.2,52.666666666666664,53.0,43,59,0.0
random_forest,nr. sessions.2,53.333333333333336,53.0,49,61,0.0
random_forest,max km Z5-T1-T2 one day.2,53.8,54.0,48,59,0.0
random_forest,total km Z3-4.1,56.266666666666666,56.0,52,60,0.0
random_forest,max km Z3-4 one day.1,57.06666666666667,58.0,53,60,0.0
random_forest,nr. rest days.1,58.8,59.0,56,63,0.0
random_forest,nr. rest days.2,58.8,59.0,55,62,0.0
random_forest,nr. strength trainings.2,61.266666666666666,61.0,59,64,0.0
random_forest,"nr. tough sessions (effort in Z5, T1 or T2)",62.333333333333336,62.0,59,66,0.0
random_forest,nr. days with interval session.1,62.53333333333333,63.0,57,65,0.0
random_forest,nr. days with interval session.2,63.2,63.0,62,65,0.0
random_forest,"nr. tough sessions (effort in Z5, T1 or T2).2",64.93333333333334,65.0,63,66,0.0
random_forest,"nr. tough sessions (effort in Z5, T1 or T2).1",65.66666666666667,66.0,65,66,0.0
xgboost,max exertion,1.0,1.0,1,1,1.0
xgboost,total km Z3-Z4-Z5-T1-T2,4.266666666666667,3.0,2,8,1.0
xgboost,nr. strength trainings,8.466666666666667,4.0,4,33,0.8666666666666667
xgboost,nr. rest days,10.866666666666667,9.0,2,35,0.6666666666666666
xgboost,avg exertion,11.533333333333333,9.0,2,32,0.6666666666666666
xgboost,max exertion.1,12.133333333333333,7.0,2,57,0.6666666666666666
xgboost,max exertion.2,12.866666666666667,9.0,2,34,0.6666666666666666
xgboost,total kms,14.6,13.0,5,38,0.26666666666666666
xgboost,max training success,15.4,11.0,2,46,0.4666666666666667
xgboost,total kms.2,17.133333333333333,18.0,9,28,0.2
xgboost,nr. strength trainings.1,17.733333333333334,15.0,8,29,0.13333333333333333
xgboost,nr. sessions,18.466666666666665,11.0,3,54,0.4666666666666667
xgboost,avg training success,19.933333333333334,13.0,3,50,0.4666666666666667
xgboost,max training success.2,20.533333333333335,15.0,2,57,0.3333333333333333
xgboost,nr. days with interval session,22.4,12.0,2,65,0.4666666666666667
xgboost,avg recovery,22.6,25.0,3,45,0.26666666666666666
xgboost,max recovery,23.133333333333333,24.0,9,36,0.06666666666666667
xgboost,min exertion.1,25.533333333333335,20.0,4,65,0.06666666666666667
