model,repeat_a,fold_a,repeat_b,fold_b,spearman_rank_correlation,top10_overlap,top10_jaccard
logistic,0,0,0,1,0.40970671119924856,6,0.42857142857142855
logistic,0,0,0,2,0.6153219914413944,5,0.3333333333333333
logistic,0,0,0,3,0.5086942907838432,4,0.25
logistic,0,0,0,4,0.36854190585533875,7,0.5384615384615384
logistic,0,0,1,0,0.5858887381275442,6,0.42857142857142855
logistic,0,0,1,1,0.5704414987997078,6,0.42857142857142855
logistic,0,0,1,2,0.3881223254357583,5,0.3333333333333333
logistic,0,0,1,3,0.6389520926834361,6,0.42857142857142855
logistic,0,0,1,4,0.4938732908882163,5,0.3333333333333333
logistic,0,0,2,0,0.5806700761924644,6,0.42857142857142855
logistic,0,0,2,1,0.4312910969627388,5,0.3333333333333333
logistic,0,0,2,2,0.5483978707859306,7,0.5384615384615384
logistic,0,0,2,3,0.492871307796681,5,0.3333333333333333
logistic,0,0,2,4,0.430581358939568,4,0.25
logistic,0,1,0,2,0.4102077027450163,5,0.3333333333333333
logistic,0,1,0,3,0.5724872142782592,6,0.42857142857142855
logistic,0,1,0,4,0.37380231708589917,6,0.42857142857142855
logistic,0,1,1,0,0.4965452457989773,5,0.3333333333333333
logistic,0,1,1,1,0.5485648679678532,9,0.8181818181818182
logistic,0,1,1,2,0.28842500782799296,5,0.3333333333333333
logistic,0,1,1,3,0.584636259263125,7,0.5384615384615384
logistic,0,1,1,4,0.494374282433984,6,0.42857142857142855
logistic,0,1,2,0,0.46009811084437957,6,0.42857142857142855
logistic,0,1,2,1,0.536791566642313,8,0.6666666666666666
logistic,0,1,2,2,0.5480638764220855,7,0.5384615384615384
logistic,0,1,2,3,0.5740736875065234,5,0.3333333333333333
logistic,0,1,2,4,0.4881118881118882,4,0.25
logistic,0,2,0,3,0.46435653898340473,4,0.25
logistic,0,2,0,4,0.395553700031312,7,0.5384615384615384
logistic,0,2,1,0,0.5394635215530739,8,0.6666666666666666
logistic,0,2,1,1,0.438430226489928,4,0.25
logistic,0,2,1,2,0.4130466548376997,7,0.5384615384615384
logistic,0,2,1,3,0.6304769857008664,5,0.3333333333333333
logistic,0,2,1,4,0.4931218035695649,5,0.3333333333333333
logistic,0,2,2,0,0.49934244859618,5,0.3333333333333333
logistic,0,2,2,1,0.3757645339734893,5,0.3333333333333333
logistic,0,2,2,2,0.5858887381275442,6,0.42857142857142855
logistic,0,2,2,3,0.5860974846049474,6,0.42857142857142855
logistic,0,2,2,4,0.3984344014194761,6,0.42857142857142855
logistic,0,3,0,4,0.3735518213130154,4,0.25
logistic,0,3,1,0,0.41242041540549007,3,0.17647058823529413
logistic,0,3,1,1,0.5526562989249557,6,0.42857142857142855
logistic,0,3,1,2,0.45671641791044787,4,0.25
logistic,0,3,1,3,0.5561214904498488,5,0.3333333333333333
logistic,0,3,1,4,0.7262916188289325,6,0.42857142857142855
logistic,0,3,2,0,0.43830497860348616,4,0.25
logistic,0,3,2,1,0.4851476881327629,5,0.3333333333333333
logistic,0,3,2,2,0.6439202588456321,5,0.3333333333333333
logistic,0,3,2,3,0.5531572904707234,4,0.25
logistic,0,3,2,4,0.653856591170024,5,0.3333333333333333
logistic,0,4,1,0,0.6397035800020876,9,0.8181818181818182
logistic,0,4,1,1,0.300323557039975,5,0.3333333333333333
logistic,0,4,1,2,0.3751800438367603,5,0.3333333333333333
logistic,0,4,1,3,0.5285669554326271,7,0.5384615384615384
logistic,0,4,1,4,0.43145809414466135,6,0.42857142857142855
logistic,0,4,2,0,0.4869011585429497,7,0.5384615384615384
logistic,0,4,2,1,0.5703162509132659,7,0.5384615384615384
logistic,0,4,2,2,0.5524893017430332,8,0.6666666666666666
logistic,0,4,2,3,0.28896774866924124,6,0.42857142857142855
logistic,0,4,2,4,0.31915248930174306,4,0.25
logistic,1,0,1,1,0.46339630518735003,4,0.25
logistic,1,0,1,2,0.2320634589291306,5,0.3333333333333333
logistic,1,0,1,3,0.6008349859096129,6,0.42857142857142855
logistic,1,0,1,4,0.45137250808892615,5,0.3333333333333333
logistic,1,0,2,0,0.49637824861705465,6,0.42857142857142855
logistic,1,0,2,1,0.6511011376683019,6,0.42857142857142855
logistic,1,0,2,2,0.5329923807535749,7,0.5384615384615384
logistic,1,0,2,3,0.5007619246425218,7,0.5384615384615384
logistic,1,0,2,4,0.4646905333472498,5,0.3333333333333333
logistic,1,1,1,2,0.34524579897714236,4,0.25
logistic,1,1,1,3,0.5525728003339945,6,0.42857142857142855
logistic,1,1,1,4,0.3832376578645236,5,0.3333333333333333
logistic,1,1,2,0,0.3991858887381276,5,0.3333333333333333
logistic,1,1,2,1,0.5538670284938942,7,0.5384615384615384
logistic,1,1,2,2,0.42456946039035603,6,0.42857142857142855
logistic,1,1,2,3,0.6491806700761926,5,0.3333333333333333
logistic,1,1,2,4,0.5278572174094563,4,0.25
logistic,1,2,1,3,0.38962530007306134,4,0.25
logistic,1,2,1,4,0.36779041853668726,4,0.25
logistic,1,2,2,0,0.33522596806178906,5,0.3333333333333333
logistic,1,2,2,1,0.25640329819434304,4,0.25
logistic,1,2,2,2,0.35317816511846367,6,0.42857142857142855
logistic,1,2,2,3,0.3262916188289323,5,0.3333333333333333
logistic,1,2,2,4,0.5425947187141218,5,0.3333333333333333
logistic,1,3,1,4,0.45108026302056164,6,0.42857142857142855
logistic,1,3,2,0,0.5089030372612463,7,0.5384615384615384
logistic,1,3,2,1,0.47216365723828413,6,0.42857142857142855
logistic,1,3,2,2,0.6380753574783427,6,0.42857142857142855
logistic,1,3,2,3,0.5229308005427409,6,0.42857142857142855
logistic,1,3,2,4,0.4795950318338379,4,0.25
logistic,1,4,2,0,0.6111888111888113,6,0.42857142857142855
logistic,1,4,2,1,0.308297672476777,6,0.42857142857142855
logistic,1,4,2,2,0.6506836447134956,7,0.5384615384615384
logistic,1,4,2,3,0.44247990815155,4,0.25
logistic,1,4,2,4,0.4744181191942387,4,0.25
logistic,2,0,2,1,0.30575096545245806,6,0.42857142857142855
logistic,2,0,2,2,0.5888529381066695,6,0.42857142857142855
logistic,2,0,2,3,0.2844170754618516,5,0.3333333333333333
logistic,2,0,2,4,0.4254044462999687,4,0.25
logistic,2,1,2,2,0.5479386285356436,7,0.5384615384615384
logistic,2,1,2,3,0.5157916710155518,4,0.25
logistic,2,1,2,4,0.4373864941029121,3,0.17647058823529413
logistic,2,2,2,3,0.44824131092787817,5,0.3333333333333333
logistic,2,2,2,4,0.4556726855234319,4,0.25
logistic,2,3,2,4,0.45521344327314484,6,0.42857142857142855
random_forest,0,0,0,1,0.9001356852103124,8,0.6666666666666666
random_forest,0,0,0,2,0.8642312910969627,8,0.6666666666666666
random_forest,0,0,0,3,0.917837386494103,9,0.8181818181818182
random_forest,0,0,0,4,0.875545350172216,8,0.6666666666666666
random_forest,0,0,1,0,0.8831019726542118,7,0.5384615384615384
random_forest,0,0,1,1,0.8810145078801798,8,0.6666666666666666
random_forest,0,0,1,2,0.8536269700448806,8,0.6666666666666666
random_forest,0,0,1,3,0.9253105103851373,7,0.5384615384615384
random_forest,0,0,1,4,0.9223463104060121,8,0.6666666666666666
random_forest,0,0,2,0,0.86272831645966,8,0.6666666666666666
random_forest,0,0,2,1,0.8856904289740113,7,0.5384615384615384
