model,alert_budget_per_100,alerts,true_positives,precision,recall,probability_threshold
logistic,1,428,6,0.014018691588785047,0.010434782608695653,0.02362078168558693
logistic,2,856,15,0.017523364485981307,0.02608695652173913,0.022075519456050335
logistic,5,2140,39,0.01822429906542056,0.06782608695652174,0.0204699102998715
logistic,10,4280,69,0.016121495327102803,0.12,0.0198662444408567
random_forest,1,428,1,0.002336448598130841,0.0017391304347826088,0.027998481917384133
random_forest,2,856,14,0.016355140186915886,0.02434782608695652,0.026566940155153068
random_forest,5,2140,35,0.016355140186915886,0.06086956521739131,0.02437310934077753
random_forest,10,4280,81,0.018925233644859814,0.1408695652173913,0.022275701936606367
xgboost,1,428,6,0.014018691588785047,0.010434782608695653,0.022662015122581165
xgboost,2,856,9,0.010514018691588784,0.01565217391304348,0.02182669123758853
xgboost,5,2140,29,0.013551401869158878,0.050434782608695654,0.020632655850366166
xgboost,10,4280,70,0.016355140186915886,0.12173913043478261,0.019572756376144734
