model,alert_budget_per_100,precision_lower,precision_upper,recall_lower,recall_upper,alerts,true_positives,precision,recall,probability_threshold
logistic,1,0.004512425338101041,0.028644781531118043,0.0033211698709220633,0.02127834259162212,428,6,0.014018691588785047,0.010434782608695653,0.02362078168558693
logistic,2,0.009445100354191263,0.02874573687271127,0.013654039217498698,0.04321914920404405,856,15,0.017523364485981307,0.02608695652173913,0.022075519456050335
logistic,5,0.012630419783070682,0.023978801371321887,0.04712041884816754,0.08973772766418932,2140,39,0.01822429906542056,0.06782608695652174,0.0204699102998715
logistic,10,0.012172039800043184,0.021414092899437135,0.09057559036776053,0.16382852495733788,4280,69,0.016121495327102803,0.12,0.0198662444408567
random_forest,1,0.0,0.035616612638990554,0.0,0.025417469642823723,428,1,0.002336448598130841,0.0017391304347826088,0.027998481917384133
random_forest,2,0.0,0.0304672969187675,0.0,0.04494142410306214,856,14,0.016355140186915886,0.02434782608695652,0.026566940155153068
random_forest,5,0.00792511184239667,0.02680079200516673,0.029133037782217427,0.10140518925113641,2140,35,0.016355140186915886,0.06086956521739131,0.02437310934077753
random_forest,10,0.0124452983558587,0.02825850514513718,0.0934790289621201,0.2047658736806835,4280,81,0.018925233644859814,0.1408695652173913,0.022275701936606367
xgboost,1,0.002150422262217915,0.030364608952287257,0.001631122751636618,0.023392301824796104,428,6,0.014018691588785047,0.010434782608695653,0.022662015122581165
xgboost,2,0.00231899915629614,0.022414994949929073,0.0036865380354449136,0.03383533535032801,856,9,0.010514018691588784,0.01565217391304348,0.02182669123758853
xgboost,5,0.007207118911769664,0.024232379910454176,0.02698199216395419,0.09036307634870262,2140,29,0.013551401869158878,0.050434782608695654,0.020632655850366166
xgboost,10,0.0117530920742164,0.02284197890042634,0.08670363723628471,0.17262600133511347,4280,70,0.016355140186915886,0.12173913043478261,0.019572756376144734
