repeat,offset,model,n_rows,n_positive,prevalence,roc_auc,average_precision,brier,prevalence_baseline_brier,brier_skill_score
0,0,logistic,2036,30,0.0147347740667976,0.3510302426055168,0.0128144652221905,0.0145946214370257,0.014554113414899523,-0.0027832696483391928
0,0,random_forest,2036,30,0.0147347740667976,0.3736374210701229,0.0120787910230871,0.0146102650913821,0.014554113414899523,-0.0038581310232950194
0,0,xgboost,2036,30,0.0147347740667976,0.4175556663343303,0.0125909343278646,0.0145643209905963,0.014554113414899523,-0.0007013533154363039
0,1,logistic,2043,47,0.0230053842388644,0.4347311644565727,0.0205450092334661,0.0225518184451383,0.022508199963873713,-0.0019378929161191216
0,1,random_forest,2043,47,0.0230053842388644,0.4749498997995992,0.0228631409008482,0.0225040205096894,0.022508199963873713,0.00018568584742539862
0,1,xgboost,2043,47,0.0230053842388644,0.4104698759220568,0.0188996543922293,0.0225522880222691,0.022508199963873713,-0.0019587554076359037
0,2,logistic,2033,22,0.0108214461387112,0.5452737218028119,0.021655789500496,0.0106965571808372,0.010728105899059108,0.0029407538030246094
0,2,random_forest,2033,22,0.0108214461387112,0.5895981194340217,0.0320752537969519,0.0106864450916618,0.010728105899059108,0.0038833329750186385
0,2,xgboost,2033,22,0.0108214461387112,0.5245468107228425,0.0604466388997293,0.0106845607041473,0.010728105899059108,0.004058982575444792
0,3,logistic,2044,27,0.0132093933463796,0.3062303751446041,0.0090058203628406,0.0131342473108451,0.013065804066649422,-0.005238349193554814
0,3,random_forest,2044,27,0.0132093933463796,0.3727574872840118,0.0099553881224732,0.0131104792014917,0.013065804066649422,-0.003419241143858276
0,3,xgboost,2044,27,0.0132093933463796,0.4017517765658568,0.0105232544129773,0.0131091877999571,0.013065804066649422,-0.003320402868922212
0,4,logistic,2053,26,0.0126643935703848,0.3582027247542788,0.0094590741981196,0.012593535334746,0.012535895278697412,-0.004598000762381593
0,4,random_forest,2053,26,0.0126643935703848,0.3593412014724298,0.0094272762777359,0.0125494851775666,0.012535895278697412,-0.0010840788445545257
0,4,xgboost,2053,26,0.0126643935703848,0.4246897650943038,0.0273223362399979,0.0125532070536983,0.012535895278697412,-0.0013809763575725054
0,5,logistic,2050,24,0.0117073170731707,0.4441428101349128,0.0109141893615106,0.0115903429109895,0.011577691883238653,-0.0010927072406514693
0,5,random_forest,2050,24,0.0117073170731707,0.4488729845343863,0.0101765891468824,0.0115820931127351,0.011577691883238653,-0.00038014740250758017
0,5,xgboost,2050,24,0.0117073170731707,0.4038540638367884,0.009384325529371,0.0115920743007999,0.011577691883238653,-0.0012422525755817482
0,6,logistic,2045,26,0.0127139364303178,0.5199832361793729,0.0156133999229272,0.012571668679813,0.012569900189673874,-0.00014069245677705844
0,6,random_forest,2045,26,0.0127139364303178,0.5855145349944756,0.0729615130992323,0.0124494729959477,0.012569900189673874,0.00958060063397348
